instant,dteday,season,temp,atemp,hum
1,01-01-11,1,0.24,0.2879,0.81
2,01-01-11,1,0.22,0.2727,0.8
3,01-01-11,1,0.22,0.2727,0.8
4,01-01-11,1,0.24,0.2879,0.75
5,01-01-11,1,0.24,0.2879,0.75
6,01-01-11,1,0.24,0.2576,0.75
7,01-01-11,1,0.22,0.2727,0.8
8,01-01-11,1,0.2,0.2576,0.86
9,01-01-11,1,0.24,0.2879,0.75
10,01-01-11,1,0.32,0.3485,0.76
11,01-01-11,1,0.38,0.3939,0.76
12,01-01-11,1,0.36,0.3333,0.81
13,01-01-11,1,0.42,0.4242,0.77
14,01-01-11,1,0.46,0.4545,0.72
15,01-01-11,1,0.46,0.4545,0.72
16,01-01-11,1,0.44,0.4394,0.77
17,01-01-11,1,0.42,0.4242,0.82
18,01-01-11,1,0.44,0.4394,0.82
19,01-01-11,1,0.42,0.4242,0.88
20,01-01-11,1,0.42,0.4242,0.88
21,01-01-11,1,0.4,0.4091,0.87
22,01-01-11,1,0.4,0.4091,0.87
23,01-01-11,1,0.4,0.4091,0.94
24,01-01-11,1,0.46,0.4545,0.88
25,02-01-11,1,0.46,0.4545,0.88
26,02-01-11,1,0.44,0.4394,0.94
27,02-01-11,1,0.42,0.4242,1
28,02-01-11,1,0.46,0.4545,0.94
29,02-01-11,1,0.46,0.4545,0.94
30,02-01-11,1,0.42,0.4242,0.77
31,02-01-11,1,0.4,0.4091,0.76
32,02-01-11,1,0.4,0.4091,0.71
33,02-01-11,1,0.38,0.3939,0.76
34,02-01-11,1,0.36,0.3485,0.81
35,02-01-11,1,0.36,0.3333,0.71
36,02-01-11,1,0.36,0.3333,0.66
37,02-01-11,1,0.36,0.3485,0.66
38,02-01-11,1,0.36,0.3485,0.76
39,02-01-11,1,0.34,0.3333,0.81
40,02-01-11,1,0.34,0.3333,0.71
41,02-01-11,1,0.34,0.3333,0.57
42,02-01-11,1,0.36,0.3333,0.46
43,02-01-11,1,0.32,0.2879,0.42
44,02-01-11,1,0.3,0.2727,0.39
45,02-01-11,1,0.26,0.2273,0.44
46,02-01-11,1,0.24,0.2121,0.44
47,02-01-11,1,0.22,0.2273,0.47
48,03-01-11,1,0.22,0.197,0.44
49,03-01-11,1,0.2,0.1667,0.44
50,03-01-11,1,0.16,0.1364,0.47
51,03-01-11,1,0.16,0.1364,0.47
52,03-01-11,1,0.14,0.1061,0.5
53,03-01-11,1,0.14,0.1364,0.5
54,03-01-11,1,0.14,0.1212,0.5
55,03-01-11,1,0.16,0.1364,0.43
56,03-01-11,1,0.18,0.1667,0.43
57,03-01-11,1,0.2,0.1818,0.4
58,03-01-11,1,0.22,0.2121,0.35
59,03-01-11,1,0.24,0.2121,0.35
60,03-01-11,1,0.26,0.2424,0.3
61,03-01-11,1,0.26,0.2424,0.3
62,03-01-11,1,0.26,0.2424,0.3
63,03-01-11,1,0.24,0.2273,0.3
64,03-01-11,1,0.24,0.2576,0.32
65,03-01-11,1,0.2,0.2576,0.47
66,03-01-11,1,0.2,0.2273,0.47
67,03-01-11,1,0.18,0.197,0.64
68,03-01-11,1,0.14,0.1515,0.69
69,03-01-11,1,0.18,0.2121,0.55
70,04-01-11,1,0.16,0.1818,0.55
71,04-01-11,1,0.16,0.1818,0.59
72,04-01-11,1,0.14,0.1515,0.63
73,04-01-11,1,0.14,0.1818,0.63
74,04-01-11,1,0.12,0.1515,0.68
75,04-01-11,1,0.12,0.1515,0.74
76,04-01-11,1,0.12,0.1515,0.74
77,04-01-11,1,0.14,0.1515,0.69
78,04-01-11,1,0.16,0.1515,0.64
79,04-01-11,1,0.16,0.1364,0.69
80,04-01-11,1,0.22,0.2121,0.51
81,04-01-11,1,0.22,0.2273,0.51
82,04-01-11,1,0.24,0.2273,0.56
83,04-01-11,1,0.26,0.2576,0.52
84,04-01-11,1,0.28,0.2727,0.52
85,04-01-11,1,0.3,0.2879,0.49
86,04-01-11,1,0.28,0.2727,0.48
87,04-01-11,1,0.26,0.2576,0.48
88,04-01-11,1,0.24,0.2576,0.48
89,04-01-11,1,0.24,0.2576,0.48
90,04-01-11,1,0.22,0.2727,0.64
91,04-01-11,1,0.22,0.2576,0.64
92,04-01-11,1,0.2,0.2273,0.69
93,05-01-11,1,0.2,0.2576,0.64
94,05-01-11,1,0.16,0.197,0.74
95,05-01-11,1,0.16,0.197,0.74
96,05-01-11,1,0.24,0.2273,0.48
97,05-01-11,1,0.22,0.2273,0.47
98,05-01-11,1,0.2,0.197,0.47
99,05-01-11,1,0.18,0.1818,0.43
100,05-01-11,1,0.2,0.1818,0.4
101,05-01-11,1,0.22,0.197,0.37
102,05-01-11,1,0.22,0.197,0.37
103,05-01-11,1,0.26,0.2273,0.33
104,05-01-11,1,0.26,0.2273,0.33
105,05-01-11,1,0.28,0.2576,0.3
